texto,categoria
"Obrigado pela ajuda. Pode enviar o backup agora?",Produtivo
"Obrigado pela ajuda. Foi muito útil.",Improdutivo
"Parabéns pelo sistema! Pode liberar acesso para o novo dev?",Produtivo
"Parabéns pelo sistema! Ficou ótimo.",Improdutivo
"Fiquei feliz com o resultado. Pode validar os dados?",Produtivo
"Fiquei feliz com o resultado. Sucesso!",Improdutivo
"Olá! Só queria agradecer pela ajuda no relatório de ontem.",Improdutivo
"O time todo merece parabéns pela entrega!",Improdutivo
"Adorei a nova dashboard! Parabéns à equipe.",Improdutivo
"Excelente trabalho no código!",Improdutivo
"Por favor, pode revisar o relatório até 17h?",Produtivo
"Obrigado! Pode subir a versão final até amanhã?",Produtivo
"Consegui identificar a causa do erro, segue análise.",Improdutivo
"A atualização do sistema foi concluída com sucesso.",Improdutivo
"A tarefa foi concluída com sucesso.",Improdutivo
"Pode confirmar o recebimento até o fim do dia?",Produtivo
"Favor validar o orçamento anexado.",Produtivo
"Por favor, pode revisar o relatório até 17h? Preciso enviar ao cliente.",Produtivo
"Obrigado pela ajuda. Agora, pode rodar o teste no ambiente de homologação?",Produtivo
"Excelente trabalho! Pode subir a versão final para produção até amanhã?",Produtivo
"Bom dia! Poderia atualizar o status do chamado?",Produtivo
"Olá, você conseguiu verificar o relatório que pedi ontem?",Produtivo
"Segue em anexo a documentação revisada.",Produtivo
"Preciso que confirme o horário da reunião de amanhã.",Produtivo
"Obrigado por resolver o problema rapidamente!",Produtivo
"Pode liberar o acesso ao sistema para o colaborador novo?",Produtivo
"Enviei os arquivos solicitados, pode conferir?",Produtivo
"Você poderia revisar este documento antes do envio?",Produtivo
"A correção foi aplicada, pode testar novamente.",Produtivo
"Atualizei o dashboard com os dados de hoje.",Produtivo
"Consegue me enviar a versão final até o fim do dia?",Produtivo
"Precisamos de uma aprovação para prosseguir com o orçamento.",Produtivo
"A reunião foi reagendada para 16h.",Produtivo
"Consegui identificar a causa do erro, segue análise.",Produtivo
"Pode validar se os cálculos estão corretos?",Produtivo
"Deixei as informações organizadas na planilha.",Produtivo
"Você pode confirmar se recebeu o contrato assinado?",Produtivo
"Segue abaixo o resumo das atividades concluídas.",Produtivo
"Estou com uma dúvida na etapa de integração, pode ajudar?",Produtivo
"Pode revisar o código antes de subir para produção?",Produtivo
"A apresentação está pronta, segue anexa.",Produtivo
"Atualizei o documento com as alterações solicitadas.",Produtivo
"Pode conferir se o ticket ainda está em aberto?",Produtivo
"Terminei o relatório mensal, pode dar uma olhada?",Produtivo
"Enviei o pedido para aprovação, aguardo retorno.",Produtivo
"Você pode verificar a inconsistência apontada no sistema?",Produtivo
"Estamos prontos para iniciar os testes.",Produtivo
"Consegue me enviar os dados atualizados?",Produtivo
"A planilha já está disponível na pasta do projeto.",Produtivo
"Enviei os detalhes do orçamento, pode revisar?",Produtivo
"Pode me informar o prazo de entrega desse item?",Produtivo
"A atualização do sistema foi concluída com sucesso.",Produtivo
"Precisamos alinhar os próximos passos do projeto.",Produtivo
"Você está disponível para uma call às 15h?",Produtivo
"O cliente pediu uma atualização, consegue responder?",Produtivo
"Segue a versão corrigida do contrato.",Produtivo
"Pode validar se as informações estão completas?",Produtivo
"Estou enviando o manual finalizado.",Produtivo
"A documentação foi revisada conforme solicitado.",Produtivo
"Consegui concluir a tarefa, pode verificar?",Produtivo
"Você pode me encaminhar a lista atualizada?",Produtivo
"Estarei disponível para reunião a partir das 10h.",Produtivo
"Consegue validar essa alteração no ambiente de teste?",Produtivo
"A proposta está pronta, segue para validação.",Produtivo
"Estamos aguardando a confirmação do fornecedor.",Produtivo
"Os dados foram atualizados na plataforma.",Produtivo
"Segue abaixo o andamento das entregas.",Produtivo
"Pode verificar por que o sistema não está respondendo?",Produtivo
"Estou enviando o backup solicitado.",Produtivo
